Tensao_Fonte_V,Corrente_Filamento_A,Resistencia_Ohms,Temperatura_K,Fotocorrente_A,Tensao_Medida_V,Desvio_Fotocorrente_A,N_Leituras
1.0,0.16702279952503407,6.058924462737892,1085.649786113504,4.4000000000000005e-09,1.0119785258771956,0.0,1
1.5,0.20683367940770372,7.221695852153865,1254.6488121971095,8.9e-09,1.4936899246643363,0.0,1
2.0,0.23825178172257563,8.412647828646032,1421.6856072528994,3.4000000000000003e-09,2.004328334179474,0.0,1
2.5,0.26993826276994404,9.278748510267247,1539.6585248433894,5.2e-09,2.504689253540747,0.0,1
3.0,0.2969714453708292,10.076131195961427,1645.8630519358494,5.7000000000000006e-09,2.9923232450107666,0.0,1
3.5,0.3230688693815859,10.819037120884117,1742.8622534336937,6.4e-09,3.49529409044144,0.0,1
4.0,0.34548457223355056,11.5753166646017,1839.785255056539,9.1e-09,3.9990933263378077,0.0,1
4.5,0.3670795249298534,12.242009238073575,1923.7808013647937,1.33e-08,4.493790935298924,0.0,1
5.0,0.3874918102534641,12.881487467781733,2003.1349282072815,2.16e-08,4.991470897648055,0.0,1
5.5,0.40645518710091866,13.518535989189532,2081.058214601125,3.2e-08,5.494679074816534,0.0,1
6.0,0.4280700900633685,14.014735684590985,2141.0023135050483,4.7100000000000005e-08,5.999289166717167,0.0,1
6.5,0.44161434371509595,14.691013841924006,2221.683230017117,6.22e-08,6.4877624363106605,0.0,1
7.0,0.46044008118559493,15.23109315518296,2285.3021525153067,8.7e-08,7.013005768917801,0.0,1
7.5,0.478061870113689,15.71247639017695,2341.419189860374,1.167e-07,7.511535847205178,0.0,1
8.0,0.49270741509974897,16.250438433727417,2403.4967207309637,1.501e-07,8.006711514919449,0.0,1
8.5,0.5088708150775005,16.691555753894576,2453.9129734535427,1.948e-07,8.493845581395878,0.0,1
9.0,0.5246322027034752,17.14470821535955,2505.2612587937547,2.388e-07,8.994666035732449,0.0,1
9.5,0.5392100319577529,17.60739584705265,2557.2381076479846,2.993e-07,9.494084477382065,0.0,1
10.0,0.5521476735311612,18.080072778209402,2609.8777344731707,3.623e-07,9.9828701217624,0.0,1
